Season,Team,POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,player_strength
2018,CSK,5,Deepak Chahar,12,12,38.1,278,10,0,27.8,7.28,22.9,0,0,185.4626374
2018,CSK,6,Harbhajan Singh,13,12,31.5,270,7,0,38.57,8.48,27.28,0,0,156.4245283
2018,CSK,7,Shane Watson,15,11,28,251,6,0,41.83,8.96,28,0,0,145.6071429
2018,CSK,8,Imran Tahir,6,6,20.4,188,6,0,31.33,9.09,20.66,0,0,136.4110011
2018,CSK,9,Karn Sharma,6,5,9.3,89,4,0,22.25,9.36,14.25,0,0,120.1376068
2018,CSK,10,KM Asif,2,2,6,75,3,0,25,12.5,12,0,0,89
2018,CSK,11,David Willey,3,3,10,95,2,0,47.5,9.5,30,0,0,117.2631579
2018,CSK,12,Mark Wood,1,1,4,49,0,0,50,12.25,-,0,0,85.63265306
2018,Delhi,1,TrentBoult,14,14,52.4,466,18,0,25.88,8.84,17.55,0,0,183.5221719
2018,Delhi,2,Amit Mishra,10,10,37,264,12,0,22,7.13,18.5,0,0,189.2524544
2018,Delhi,3,Harshal Patel,5,5,17.3,167,7,0,23.85,9.54,15,0,0,129.1218029
2018,Delhi,4,Rahul Tewatia,8,8,22,173,6,0,28.83,7.86,22,0,0,155.2264631
2018,Delhi,5,Sandeep Lamichhane,3,3,12,82,5,0,16.4,6.83,14.4,0,0,163.4128843
2018,Delhi,6,Glenn Maxwell,12,10,16,132,5,0,26.4,8.25,19.2,0,0,142.2121212
2018,Delhi,7,Dan Christian,4,4,11.5,101,4,0,25.25,8.53,17.75,0,0,132.7332943
2018,Delhi,8,Liam Plunkett,7,7,25,225,4,0,56.25,9,37.5,0,0,140.1111111
2018,Delhi,9,Avesh Khan,6,6,19,204,4,0,51,10.73,28.5,0,0,116.1966449
2018,Delhi,10,Chris Morris,4,4,14,143,3,0,47.66,10.21,28,0,0,114.9431929
2018,Delhi,11,Mohammad Shami,4,4,13.5,144,3,0,48,10.4,27.66,0,0,112.6538462
